[22:08:27] [INFO] received Windows console close event; shutting log-core down
[23:30:33] [INFO] received Windows console close event; shutting log-core down
[23:36:06] [INFO] received Windows console close event; shutting log-core down
[23:44:37] [INFO] received Windows console close event; shutting log-core down
[23:46:42] [INFO] received Windows console close event; shutting log-core down
[23:47:12] [INFO] received Windows console close event; shutting log-core down
[23:51:29] [INFO] received Windows console close event; shutting log-core down
[23:52:52] [INFO] received Windows console close event; shutting log-core down
[23:56:57] [INFO] received Windows console close event; shutting log-core down
[00:00:18] [INFO] received Windows console close event; shutting log-core down
[8/28/2023 1:38:14 AM] [INFO] received Windows console close event; shutting log-core down
[8/28/2023 1:39:16 AM] [INFO] received Windows console close event; shutting log-core down
[8/28/2023 1:41:24 AM] [INFO] received Windows console close event; shutting log-core down
[8/28/2023 1:45:56 AM] [INFO] received Windows console close event; shutting log-core down
[8/28/2023 1:55:11 AM] [INFO] received Windows console close event; shutting log-core down
[8/28/2023 2:05:01 AM] [INFO] received Windows console close event; shutting log-core down
[8/28/2023 2:05:10 AM] [INFO] received Windows console close event; shutting log-core down
[8/28/2023 2:05:49 AM] [INFO] received Windows console close event; shutting log-core down
[8/28/2023 2:19:27 AM] [INFO] received Windows console close event; shutting log-core down
[8/29/2023 10:56:20 PM] [INFO] received Windows console close event; shutting log-core down
[8/29/2023 11:01:57 PM] [INFO] received Windows console close event; shutting log-core down
[8/29/2023 11:06:25 PM] [INFO] received Windows console close event; shutting log-core down
[8/30/2023 12:15:25 AM] [INFO] received Windows console close event; shutting log-core down
[8/30/2023 12:21:18 AM] [INFO] received Windows console close event; shutting log-core down
[8/30/2023 12:40:23 AM] [INFO] received Windows console close event; shutting log-core down
[8/30/2023 12:44:46 AM] [INFO] received Windows console close event; shutting log-core down
[8/30/2023 4:20:44 AM] [INFO] received Windows console close event; shutting log-core down
[8/30/2023 4:21:03 AM] [INFO] received Windows console close event; shutting log-core down
[8/30/2023 4:29:26 AM] [INFO] received Windows console close event; shutting log-core down
[8/30/2023 4:46:32 AM] [INFO] received Windows console close event; shutting log-core down
[8/30/2023 4:49:02 AM] [INFO] received Windows console close event; shutting log-core down
